ID : 1; Task ; Screens; Round; Result

 ; 2 ; ; 1; 9,69 s
 ; ; ; ;11
 ; ; ;2; 13,68 s
 ; ; ; ;4
 ; ; ;3; 16,94 s
 ; ; ; ;9
 ; ; Screen : Front 11,46 s

 ; 2 ; ; 1; 1,32 s
 ; ; ; ;0
 ; ; ;2; 1,97 s
 ; ; ; ;1
 ; ; ;3; 6,62 s
 ; ; ; ;7
 ; ; Screen : None

 ; 3 ; ; 1; 5,17 s
 ; ; ; ;0
 ; ; ;2; 12,94 s
 ; ; ; ;2
 ; ; ;3; 5,35 s
 ; ; ; ;1
 ; ; Screen : Up 4,07 s

 ; 3 ; ; 1; 2,16 s
 ; ; ; ;0
 ; ; ;2; 2,06 s
 ; ; ; ;0
 ; ; ;3; 3,54 s
 ; ; ; ;1
 ; ; Screen : None

 ; 4 ; ; 1; 8,60 s
 ; ; ; ;0
 ; ; ;2; 7,69 s
 ; ; ; ;1
 ; ; ;3; 7,40 s
 ; ; ; ;13
 ; ; Screen : Right 6,90 s

 ; 4 ; ; 1; 8,17 s
 ; ; ; ;1
 ; ; ;2; 3,04 s
 ; ; ; ;0
 ; ; ;3; 1,21 s
 ; ; ; ;0
 ; ; Screen : None

 ; 1 ; ; 1; 8,63 s
 ; ; ; ;0,011
 ; ; ; ;0,011
 ; ; ; ;0
 ; ; ;2; 9,10 s
 ; ; ; ;0,008
 ; ; ; ;0,008
 ; ; ; ;2
 ; ; ;3; 8,47 s
 ; ; ; ;0,012
 ; ; ; ;0,012
 ; ; ; ;3
 ; ; Screen : Front 3,68 s

 ; 1 ; ; 1; 3,33 s
 ; ; ; ;0,009
 ; ; ; ;0,009
 ; ; ; ;0
 ; ; ;2; 4,15 s
 ; ; ; ;0,008
 ; ; ; ;0,008
 ; ; ; ;1
 ; ; ;3; 3,44 s
 ; ; ; ;0,015
 ; ; ; ;0,015
 ; ; ; ;1
 ; ; Screen : None
