ID; Task ; Round; Screen; Screen Time; Round Time; Errors
2; 3; 1; Back; 17,01 s;20,92 s;0
2; 3; 2; Back; 15,76 s;30,94 s;0
2; 3; 3; Back; 2,93 s;4,42 s;0
2; 2; 1; Back; 1,58 s;2,79 s;0
2; 2; 2; Back; 1,10 s;2,40 s;0
2; 2; 3; Back; 1,21 s;3,50 s;1
2; 1; 1; Back; 0,86 s;9,15 s;0
2; 1; 2; Back; 0,00 s;0,93 s;0
2; 1; 3; Back; 0,00 s;3,61 s;0
2; 3; 1; None;0.00s;23,12 s;2
2; 3; 2; None;0.00s;28,82 s;2
2; 3; 3; None;0.00s;8,04 s;0
2; 2; 1; None;0.00s;2,59 s;0
2; 2; 2; None;0.00s;1,15 s;0
2; 2; 3; None;0.00s;2,57 s;0
2; 1; 1; None;0.00s;3,87 s;0
2; 1; 2; None;0.00s;2,40 s;0
2; 1; 3; None;0.00s;5,67 s;0
